,id,reviews,target
38,38,"충전이 안돼서 사실 그냥 방치 중,,,",2
39,39,좋네요 성인 6명이 앉기 딱일 듯요 색상도 괜찮고 다리도 튼튼하네요,5
40,40,이상한 모양이 찍혀 나와요 제 프린터의 문제인 줄 알았는데 다른 사람도 똑같은 모양이 찍혀 나오네요.. 벌레 모양처럼.;,1
41,41,양이 너무 적어요 밖에서 사 먹는 게 더 쌀 듯,1
42,42,양념통 5개 오일 병 5개 주문했는데 양념통 뚜껑 하나가 스테인리스 마감이 안 되어있어서 검지에 찔려서 피가 났네요 짜증 나서 다 환불하고 클레임 걸려다 다른 제품은 이상 없고 당장 쓸 일이 있어서 그냥 넘어갑니다 스테인리스 마감 잘 확인 바랍니다.,1
43,43,굳 ~ 잘 늘어나고 모양대로 잘 붙어요~ 한 달째 문제없이 사용 중입니다 ㅋ,5
44,44,양도 꽤 있고 상태가 좋고 깨끗해요,5
45,45,아이가 머리를 흔들면 바로 풀려요,2
46,46,포장 문제 펜 촉 끝이 갈려 있습니다. 검수 확인하셔야 할듯해요. 반품하려다 버립니다.,1
47,47,라벨 붙여주세요,2
48,48,재구매 좋어요 좋아요 네네네요,5
49,49,시야 확보가 잘 안되는 거 제외하곤 무난해요.,2
50,50,잘 샀습니다 감사해요^^,5
51,51,빠르게 배송 왔습니다 잘 사용하겠습니다,5
52,52,편안하고 가벼운데 밑위가 너무 길게 나온 제품 같아요,2
53,53,재구매 깔끔하네요 말할 필요 없어요,5
54,54,간편하고 성능 좋아요! 휴대 강추합니다~~,5
55,55,"온도가 너무 빨리 반응해서, 정확하게 체크가 어려움.",2
56,56,다른 저렴히 제품에 비해 한 장씩 잘 뽑혀요,5
57,57,재구매 생각보다 치수가 작아요 저번 건 안 그랬는데,1
58,58,어ㅓ러러러ㅓ라라라ㅏ탸ㅏ아아ㅏ아,1
59,59,좋아요 여름에는 속옷 입고 민소매 입고하면 너무 더운데 이 나시는 안에 캡이 있어서 따로 속옷 안 입어도 되고 편하고 좋네요,4
60,60,빨대가 안으로 들어가요,2
61,61,좋습니다 평범해요,5
62,62,그저 그래요 뚜껑 덮개 약해요,2
63,63,포장도 꼼꼼히 너무 잘 해주셔서 선물 받는 기분이여습니다. 감사해요. 번창하세요~~^^,5
64,64,죄송하지만 저는 진짜 맛없어요ㅜㅜ 게장. 새우 장 엄청 좋아하는데... 한 알 맛보고 다 버렸네요ㅠㅠ,1
65,65,디자인도 좋고 편하게 쓸 수 있습니다,5
66,66,가볍고 폭신하고 예뻐요^^ 베이지 샀는데 이뻐서 블랙 구매했어요^^9,5
67,67,사업번창하라고 지인에게 선물하니 좋아하네,5
68,68,가방과 구성품은 좋은데 물뿌리개가 꺼내자마자 두 동강났어요,2
69,69,응 그래 고마워 덕분에 오랜 잠에서 깨어난 상황을 그리며 스토리 전개에 박차를 가했다 상해라고 볼 수도 있다 내가,1
70,70,배송도 빠르고 아이가 색깔이랑 쓰기에도 편하다고 하네요,4
71,71,색깔이 어두워서 별로,2
72,72,깔끔하네요 수납도 적당하고 근데 튼튼해 보이진 않아요 그래도 싼 마이로 당분간은 잘 쓰겠어요,5
73,73,솔직히 기본 사은품 안장이랑 별 차이를 못 느끼겠음,2
74,74,생각보다 맛이 별로라,1
75,75,진짜 심하네요 이걸 이불이라고 팔면 어떻게 합니까? 천 쪼가리 팔면서 미안하지 않나요? 반품비가 더 들어서 구매확정합니다..,2
76,76,한 치의 오차도 없는 깔끔한 박스 포장으로 안전하게 상품을 받아볼 수 있었어요. 가게에 비치해 두었는데 사용할 일은 없어야겠지만 정말 필요할 때는 큰 도움이 될듯합니다. 가정집에도 비치해둬야겠어요.,5
77,77,좋아요ㅠ잘쓰고닛어요,4
78,78,귀엽네요 사각팬티 사고 맘에 들어서 삼각도 구매해 봐요 사각에 비해 여유가 있지만 크거나 하진 않아요 잘 입힐게요,5
79,79,손등에 발라봤는데 발림성도 좋네요 계속 발라봐야겠어요,5
80,80,재구매 이번이 두 번째 구매에요 근데 팩에 적혀 있는 수치가 안 맞아서 양 조절이 힘들어요,5
81,81,피곤이 훨씬 덜 합니다.,5
82,82,조리하는 데는 쉽게 했는데 오ㅡ. 야간 힘이 없어서 여름이 불 정도는 가볍게 늘 수가 있을 것 같은데요. 겨울이불 늘기에는 힘이 없어요.,2
83,83,배송은 괜찮은데 배터리 갈고부터 핸드폰 에러가 잘 떠서 그저 그래요,2
84,84,구성비 좋긴 한데 왜 까진 게 와서 ㅡㅡ,2
85,85,고장 없이 잘 되네요,5
86,86,재구매 다음부터는 5만 원 정도 이상이면 배달비 무료면 좋겠어요,5
87,87,예쁘고 조그맣고 좋아요,5
88,88,재구매 좋은 쌀 잘 받았습니다 잘 먹을게요,4
89,89,얇은 라인 그릴 때 굿,5
90,90,별 1개도 아까운 부실함. 덜렁 덜렁대고 픽 쓰러지고 갖다 버리고 싶은데 스티커 붙여야 돼서 처박아두는 중,1
91,91,아직 사용 전인데 전에 사용하던 거랑 비슷한데 음식물 쓰레기랑 함께 버릴 수 있다고 해서 샀어요 좋으면 다 사용하고 또 사겠습니다 사탕이랑 비타민 감사합니다!,5
92,92,브런치 베베 솔드아웃 돼서 미니미 샀는데 핑크랑 도트 패턴 깔끔해요 딸기우유 핑크고요^^ 단추 걸이고요 배송도 빨랐어요,5
93,93,ㅇ뭄루느를ㄴㄹ는흔하,1
94,94,재구매 항상 배송도 빠르고 물건도 파손 없고 만족합니다~!,5
95,95,너무 좋네요. 먹기 편하고 효과도 있는 것 같고요~~,5
96,96,좋은 가격에 좋은 상품입니다.,5
97,97,쿠션 솜... 소재를 잘 알아보고 시킬걸.. 후회했습니다.. 지퍼 여는데 바로 뜯어졌네요.. 그리고 겉으로 솜 가닥? 이 계속 빠져나오고 거칠거칠하고 따갑습니다...,1
98,98,마무리 처리도 깔끔하고 스티커로 붙이는 거라 편해요,5
99,99,"배송도 빠르고 잘 도착했어요 조금 더 저렴한 다른 화사 제품 써봤는데 이 회사 제품이 복원력, 탄력이 더 우수해서 다시 구입합니다.",5
100,100,살다 살다 이런 상태로 물건 보내는 거 처음 보내요. 어이가 없어서 사진 첨부합니다. 죄다 터졌어요. 봉지가 터질 것 같으면 좀 더 꼼 꼼 검수를 하시지.. 검수하시는 분도 안 계시고 그냥 막 담았나 봐요?,1
101,101,배송이 너무 늦었어요 배송이 너무 늦어서 불만족입니다 ㅠ 옷은 사진과 그대로예요 근데 좀 길어서 오 센티 정도 줄일까 해요,2
102,102,온 날 손님 초대해서 먹는데 전체적으로 내장에서 신맛이 나네요 저도 손님들도 결국엔 다 먹지도 못했네요ㅠㅠ 아까워서 혼났어요 오징어 통짜 사 먹고 되게 맛있었던 기억이 있어서 주문한 건데 실패네요 먹는 건 이래서 인터넷 주문하면 안 된다 하는건가봐요ㅠㅠ,1
103,103,의자에 연결되는 부직포 끈이 너무 짧고 잘 떨어져요 앉을 때마다 떨어져서 불편해요,2
104,104,논슬립이 아니에요..... ᅲᅲ 저 주황색 부분이 그냥 플라스틱이에요. ㅠㅠ 너무 어이없네요..,1
105,105,물건이 잘못 왔습니다. 제가 주문한 건 A3000u인데 A3000ua 가 왔습니다. 일단 바로 써야 하기 때문에... 가격이나 성능 면에서 비슷한 거 같아서 반품 안 하고 그냥 사용합니다.,2
106,106,생각보다 실제로 보니 더 괜찮네요 잘 쓰겠습니다,5
107,107,"다신 안 사고 안 할래요~! 몇 개 더 사놨는데 미련 없이 처박아두고, 바로 필름으로 다시 시켜 부착.",2
108,108,풀도 넉넉히 꼼꼼하게 잘 발라져 있고 만족합니다,4
109,109,소비자 놀림? 배송도 엉망이고 새조개 상태는 그야말로 최악에 품질로 고무 씹는듯하고 짜증 나서 샤부샤부 먹다 버렸습니다 어처구니없는 제품입니다 가족들과 타 지역 가서 엉망인 식당 가서 한 끼 비싸게 먹었다 생각하렵니다 구정 연휴만 안 꼈어도 반품 처리했을 겁니다,2
110,110,아이폰 처음 쓰는데 항상 쓸 때마다 떨어뜨리면 깨질 거 같아서 걱정해서 구입했는데 안심되네요,5
111,111,다 익어서 왔어요.. 날도 더운데 아이스팩 좀 많이 넣어주시지.. ㅠ,1
112,112,"빠른 배송 감사합니다 너무 이뻐요 데일리로, 매일 착용할 것 같아요",5
113,113,"옵션을 잘해주셔서 구입하기 편했습니다 주시는 망치는 사용하기가 좀 ,,,",5
114,114,깔끔하고 좋아요 실밥이 하나 튀어나온 게 있어서 쪽가위로 정리하긴 했는데 저렴하게 구매했으니 괜찮아요 선물할 거라서 박스 포장 부탁드렸는데 친절하게 응대해 주셔서 감사했습니다~,5
115,115,눈에 띄는 효과는 잘 모르겠지만 열심히 먹고 있어요,5
116,116,노트북이 계속 미끄러 불안해서 못 쓰겠네요 ㅡㅡ,1
117,117,"의자가 필요해서 두 개 주문했지만, 오자마자 풀어보고 다리 밸런스가 안 맞는지 약간씩 기우뚱거리네요. 하루 앉아서 활동하고 이틀째인 오늘 역시 약간씩 흔들거리네요.",2
118,118,"재구매 배송이 항상 3일ㅡ4일이면 오더니, 이번에는 일주일 넘게 걸리더라고요. 감안하셔서 주문해야지 긴장 안 합니다.",1
119,119,탄탄하니 싼 티 안 나고 좋네요^^,5
120,120,좋아요~ 조리대 600상판 주문했어요~~ 쿡탑 밑에 들어가 있는데 생각보다 수납도 많이 되고 좋네요~~잘 쓸게요~~ 감사합니다~~~,4
121,121,배송도 빠르고 눈썹은 괜찮은데 글로가 정말 별로네요ㅜ,1
122,122,잠수함은 별로예요 잘 보이지도 않고 거의 안 보여요,2
123,123,중 자를 시켰는데 소자가 왔네요 반품하기 귀찮아서 그냥저냥 써요,1
124,124,가격 좋고 만족해요 많이 파세요,5
125,125,통화도 잘 안되고 진짜 별로예요.....,1
126,126,별점 1점이 최 하인 가요.. 나사구멍이 전혀 안 맞네요 문의를 했더니 위치 조정 필요하다..? 정도껏 조정해야지 성인 남성 거기다 운동을 하는 남성도 땀 흘려가면서 조립을 해야 합니다 손 바들바들 떨어가면서요 싸고 비싼 덴 이유가 있다는 말이 틀리지 않네요,1
127,127,브라운은 색상이 브라운이 아니라 정말 카키네요 ;;;,2
128,128,하얀색 일회용 마스크는 역시 중국산. 생산공정이 정말 믿을 수 없어 일광욕 시키고 아직 사용하자 않고 있다. 국산이야 믿고 사용하지만 폭등하는 가격 때문에 할 수 없이 구매하였는데 ... 일회용으로 새기고 써야지.,2
129,129,이쁘네요 이 가격에 배송 참 빠르네요 하루 만에 왔어요,5
130,130,하금테 안경 블랙실버 구매하고 어머니 것도 구매했어요. 초코 브라운으로요. 제일 이쁜 건 블랙실버인데 초코 브라운도 이뻐요. 뭐 구매해야 할지 고민이 신분은 블랙실버를 추천합니다. 후회 안심,5
131,131,완전히 귀여워요 쪼금 큰데 그래도 조아여,5
132,132,별로예요 머리가 고정이 안돼요,1
133,133,3킬로 포에 성견인데 젤 잘은 에스사이즈인데도 불구하고 입에 비해 너무 크기가 큼... 씻기 불편하고... 일단 크기기 젤 문제임 좀 더 작은 사이즈 면 좋겠어요,1
134,134,가격 대비 쓸만한 거 같아요,5
135,135,사이즈 좋고 깊이도 선택이 가능해서 좋았어요.,5
136,136,크기가 생각보다 많이 커서 수납을 다양하게 할 수 있어서 좋은 것 같아요.,4
137,137,잘 쓰고 있습니다. 옷도 많이 걸 수 있고 좋네요.,4
138,138,재구매 잘 먹을 거요 많이 파세요,2
139,139,예뻐요~~예쁜 핑크색입니다~^^,5
140,140,한 패드 한 패드 따로 포장이 좋았고요~ 유두가 순면에 닿는 느낌이라 좋네요^^!!,5
141,141,배송 비닐에 구멍이 난 채로 왔고 바지 사이즈도 뭐 썩 잘 맞는 거 같진 않지만 반품이 번거로워서 그냥 입네요,2
142,142,싼 거 사기 싫었는데 상품도 별로 없길래 여기 거 샀는데 배송도 겁나 별로에 똑같은 거 두 개 시켰는데 길이랑 폭도 각자 다르고 망사도 뻣뻣해서 잘 닫히지 않는다. 이제껏 써 본 제품 중 젤 거지 같음.,1
143,143,배송은 빨랐는데 프레임이 휘어진 곳이 몇 군데 있고 스크래치도 군데군데 많네요 반품하는데 시간도 걸리고 사용상 큰 문제는 없어서 그냥 쓸게요.,2
144,144,냄새나고 표면 거칠거칠합니다,1
145,145,싼 거고 자시고 다 떠나서 세 개 샀는데 다 얼룩이 있어요,1
146,146,카드만 들어있는 줄 모르고 잘못시켰네요..,1
147,147,좋아요 핼러윈 때 잘 썼어요,5
148,148,너무 잘 떨어져요ㅡㅡ 붙이자마자,2
149,149,그냥 비싼거사세요ㅋㅋ,2
150,150,실제 보고 인터넷으로 구매한 건데 정품이 아닌 건지 유난히 가방이 가로가 길어요;; 여자가 들기엔 안 예쁜 것 같아요. 남자 운동 가방으로 그나마 쓸 것 같네요....,1
151,151,시트 비닐 가죽이 벌써 찢어졌어요 너무 얇고 정말 안 좋습니다,2
152,152,유통기한이 좀 빡세지만.. 그리고 빨대도 깨져있었지만 워낙 좋아하는 음료라. 잘 마시겠습니다.,5
153,153,구성비 짱입니다!! 이런 시곗줄 없습니다!!!^^,5
154,154,px에 있는 로카티 제 질하고 달라요,2
155,155,생각보다 넘나 큼 ㅠ 잘 잡아주지도 못하 뮤,2
156,156,"좋았습니다, 좋았습니다",2
157,157,가격에 비해 양이 어마 무지하네요~국물도 뽀얗게 잘 우려 나오고.....,5
158,158,배송 부분과 서비스에 최악입니다.,1
159,159,아침에 씻으러 들어갈 때 참 잘 샀다고 느낍니다,5
160,160,주문할 때부터 친절하게 설명 다해주시고~ 커튼에 냄새도 하나도 안 나고~ 예쁜 건 두말하면 잔소리고요 ᄒᄒ 완전 만족 만족 대만족입니다!! 감사합니다^^,5
161,161,조립했는데 뭔가 좀... 엉성한 느낌입니다 튼튼하지는 않아요,2
162,162,상품이 잘 포장돼서 왔어요.,4
163,163,쌀알이 너무 작아요,2
164,164,100% 마카인 줄 알았는데 아니네요.,2
165,165,매우 불만족! 두 번째 구입합니다. 7개씩 두 개를 주문했는데 엿 먹으라고 14개로 한 번에 보내는 건가요? ㅡㅡ?,2
166,166,12월 9일에 주문해서 어제 받았어요 성질 급한 사람 절대 못 기다리죠 보기와 달리 작아요,1
167,167,재구매 가격이 비싸요 믿고 구매했음 데,1
168,168,진짜 엄청 덜덜거리네요 균형도 살짝 기울어져있고 조립을 잘못했나 거슬려서 쓰기 힘드네요,1
169,169,아직 시간이 지나봐야 알지만 좋은 듯해요,4
170,170,깨져서 옴....,2
171,171,너무 좋아요 다음에도 살게요!,5
172,172,썬팩트 사용 후 세안하려고 구매했습니다.,4
173,173,예쁘네요. 모양이 조금 삐뚤어져있긴 하지만ㅠ 그래도 싼 티 안 나고 고급 져요. 만족입니다. 욕실 앞 수건 바구니로 사용하려고 샀어요. 담에 또 이용할게요 :),5
174,174,잘 안돼서 버렸어요...,2
175,175,앞서 남긴 후기와 같습니다.,4
176,176,저희 집 화장실은 폭이 좁아 사용 못 해서 친정에 드려야 될 것 같아요 사이즈 꼭 체크하세요ㅠ,2
177,177,생각보다 말랑말랑함,4
178,178,늦게 받기는 했지만 제품은 만족합니다,4
179,179,길이에 비례하게 줄을 더 길게 해주셨으면 좋았을 텐데... 줄 길이도 옵션에 포함되어 있으면 좋았을 텐데... 2% 부족하게 구매했습니다. 줄 길이도 설명에 포함되었으면 합니다.,2
180,180,이런 모양으로 생겼네요,5
181,181,딱 원하던 쿠션감과 두께입니다,5
182,182,색깔 너무 예뻐요. 배송은 좀 늦었지만 다행히 지금 입기 괜찮아요,5
183,183,오징어 구워 먹고 싶어 샀는데 괜찮네요,5
184,184,칸막이가 분리되면 좋겠습니다,2
185,185,처음 사본 제품이에요. 잘 쓰겠습니다,5
186,186,배송은 빠른데 포장상태가 ㅡㅡ,2
187,187,받고 냄새 많이 난다고 해서 행사 때 쓰기 전까지 박스 열어두니 괜찮더라고요 재밌어하더라고^^,4
188,188,재구매 진하고 맛있어요 가격만 부담 없으면 자주 주문하고 싶어요~,4
189,189,일단 상품은 좋지 못해요 버튼도 확인 안돼서 as 전화하니 남직원이 불친절하네요 돈 좀 더 주고 좋은 걸로 구입하세요,1
190,190,재구매 배송이 빨랐어요 연근. 다시마. 우엉 등은 건강한 먹거리면서 쉽게 손에 닿지 않은데 애들하고 부모님이 한 봉지 뚝딱하니 고른 보람이 있네요,5
191,191,터치감이 아주 좋아요,5
192,192,색이 붉은빛이 많고 씨가 굵고 맛이 없어요. 재구매 의사 없습니다.,2
193,193,끈적거리기는 끈적거리는데 접착력이 영 좋지 않았습니다.,2
194,194,제품이 다 녹아서 완전 흐물흐물해요. 재 냉동하면 완정 떡 될 것 같아서 바로 다 써야 하네요.. ㅠ,1
195,195,가벼워요@@!@,5
196,196,박스 종이 상자는 좀 오래되면 냄새도 나고 습기 차고 그러는데 플라스틱 재질이라서 종이상자보다 훨씬 더 좋은 것 같습니다.,5
197,197,냄비처럼 생긴 종지는 너무 이뻐서 만족하고요 앞접시로 쓸 그릇은 생각보다 너무 작아서 아쉬웠어요,2
198,198,분명 ad 실내 등 주문했는데 md 실내 등으로 왔네요 뜯고 작업하려니 뭐가 안 맞아서 보니 md 용이더라고요 뜯어가지고 교환도 안될 거라 짜증 엄청나네요 좀 주문 확인 좀 제대로 하고 보내주시죠,1
199,199,잘 받았습니다. 배송 빠르고 맛있습니다,5
200,200,제가 신청했던 사이즈랑 전혀 다른 사이즈가 왔네요 개판이네요.,1
201,201,끝이 정교하지 못하네요 벌써 3개 교체했어요,2
202,202,생각보다 묵직하네요 ㅎㅎ 잘 받았어요 ㅎㅎ,4
203,203,싸게 잘 구입했다 생각해서 재구매했는데 쿠팡이 더 싼 건 뭐지..,2
204,204,좀 짜요 별로예요 다음엔 안 짠 메뉴로 먹을래요,2
205,205,그다지 도움이 되지 않고 착용이 불편하네요.,1
206,206,콜린성 두드러기에 효과 봤다는 후기를 보고 구매했는데 우리 아이한텐 맞지 않나 봅니다 아무런 효과가 없네요,1
207,207,재구매 꽝꽝 얼려진 상태로 잘~ 배송되었습니다!!!! 청 한가득 만들었습니다!!!,5
208,208,굿 좋아요 아주 튼튼함,5
209,209,배송 진짜 느려요 같은 날 주문한 상품들 뜯어서 사용하고 한참 후에야 받았네요. 배송 포장도 구멍 나서 안쪽으로 이물질도 상당히 들어가 있었고요. 안쪽에 주머니 없어서 실용성은 좋지 않습니다.,2
210,210,늘 쓰던 제품이에요. 여전히 좋습니다.,5
211,211,높낮이 조절하다가 스프링 강도가 너무 세서 손이 껴서 다쳤습니다,2
212,212,맛있어요~아이들도 맛있대요~ 재구매 의사 있어요~,5
213,213,가격 대비 좋습니다. 가격 대비 제품은 좋은 거 같습니다. 조금 아쉬웠던 건 서랍장 안에 찍힌 곳이 몇 군데 있는 거 빼곤 맘에 듭니다.,4
214,214,좋아요 좋아요 좋아요,2
215,215,사진처럼 깔끔한 디자인 맘에 들어요ㅎ,4
216,216,마스크팩 붙이는 것보다 한번 뿌리기만 해도 팩이 되니 너무 편하고 좋아요,5
217,217,재구매 좋아서 항상 재구매해서 마시고 있습니다.,5
218,218,좀 누지네가 나네요,4
219,219,"안전하게 배송받았습니다,",5
220,220,결제하고 받기까지 일주일 걸렸어요 주말하고 공휴일 있다고 해도 너무 느림..,2
221,221,먹기도 불편하고 효과도 없고 물이랑 마시면 **만 하고 속이 허하네요,1
222,222,가격에선 만족하나.. 에어프라이기에 사용하면 자꾸 말리네요 ㅠㅠ,2
223,223,가끔 이용해야겠어요,5
224,224,불만 매우,2
225,225,베이지는 정말 유니크한 거 같아요. 슬림 하며 베이지이기 때문에 심하게 섹시해 보이네요^^,5
226,226,좋아요 식구대로 다른 색상 선택했어요 따띗한 물로 헹구기만 해도 깨끗이 닦이고요 양쪽 날개 접어서 가볍게 비비면 세척 끝입니다,4
227,227,"배송 빠르게 잘 받았습니다! 쫀쫀할 줄 알았는데, 그냥 스판기가 아예 없네요 후크 때문에 살이 좀 쓸려서 거슬려요ㅜㅜ",5
228,228,재구매 우리 가족 잠옷으로 구입해서 잘 입고 있는데 외할머니 선물로 또 구입했어요 너무 이쁘고 너무 좋아하십니다 아주 만족합니다,5
229,229,선물용ㅇ으로 샀는데 좋아해요,5
230,230,무거워서 둘이 들던 테이블 이제 혼자 끌 수 있어 좋아요,5
231,231,별로 싸긴 해도 보통 상장 용지라는 설명에 대량이라 저렴한 건가 보다 했어요. ㅜㅜ 근데 상장... 보통 두께가 어떤지 모르시는 분이 쓰셨나요. ㅜㅜ 이렇게 얇은 상장이 어딨습니 꽈 아~~~~ ㅜㅜ,2
232,232,밴드가 짧고 약해서 설치 불가,1
233,233,구성비가 좋습니다. 색이 이뻐요.,5
234,234,아 이번에 실패네요,2
235,235,별다른 효과가 없어요 발색이 잘 안돼요,2
236,236,다이아몬즈 모양을 시켰건만 카이트??? 그 모양이 왔네요 원한 모양은 아니지만 시간이 없는 관계로 그냥 씁니다,2
237,237,오염돼서 왔어요. 흰색이 아니라 군데군데 붉은 점들이 있더군요... 교환하기 귀찮아서 그냥 가집니다..,2
238,238,중국어로 매뉴얼 잇네요,2
239,239,너무 싱싱한 꽃을 저렴한 가격에 받을 수 있다니~~너무 좋아요,2
240,240,오른쪽 이어폰은 케이스에서 빼면 자동으로 전원 안 켜지는 현상 있음. 귀찮아서 그냥 쓰기로 함.,2
241,241,막걸린데도 우유 넘기듯 목 넘김이 좋습니다,4
242,242,재구매 디자인이며 견고함 모두 좋아요 저흰 회사에서 4개나 주문했어요 다만 폭이 좀 좁은 게 흠이라면 흠...,4
243,243,개인별로 효과 차이는 있겠지만 저는 효과기 없었네요,2
244,244,옵션 추가해서 LED 불 들어오는 걸로 구매했는데 불량이네요.,2
245,245,재구매 역시 꼴레지앙ㅋ 아기들이 신으면 너무너무 귀여워요,5
246,246,발색도 잘되고 좋아요,5
247,247,소매가 칠부 길이 정도네요 냄새가 심해요,2
248,248,철심이 들어있어서 가슴 밑부분이 아파요,1
249,249,접시가 너무 딱딱해요,2
250,250,갑 티슈인 줄....,2
251,251,탱글 티저 처음 써보는데 괜히 유명한 게 아니네요 반곱슬에 숱도 많고 잘 엉키는 머리라 머리빗을 때마다 아팠는데 탱글 티저는 힘 안 들이고 안 아프게 술술 잘 빗겨요,5
252,252,재구매 몇 년째 먹고 있는 거 같아요 이만한 두유가 업습니다,5
253,253,구성비가 좋았었던 점에 높은 점수 주고 싶습니다,5
254,254,매장에서 사이즈가 없어서 여기서 구매했어요 배송도 많이 늦지 않게 잘 받았습니다,5
255,255,불편하고 과하게 잘 떨어져요,2
256,256,배송이 빠르고 저렴한 가격에 구입을 하였습니다. 구매 편을 보고 구입을 하였으며 재구매 하겠습니다. 감사합니다,4
257,257,잘 받았는데 시간이 너무 오래 걸렸네요,1
258,258,오래전부터 현미. 현미찹쌀. 흑미. 기타잡곡. 콩 이렇게 먹는데 여기 쌀 괜찮아요. 촉촉하니 백미에는 없는 고소함 때문에 너무 좋아요. 앞으로도 좋은 쌀 부탁해요,5
259,259,깨져오고 사지 마세요 급해서 어쩔 수 없지만 너무하네요 사지 마세요,1
260,260,앞에 설명과 같습니다~! 홑겹 이불은 좀 얇은 편이라 여름에도 이불이 꼭 필요해! 하시는 분들은 별로 안 좋아하실 수도 있을 거 같아요~ 하지만 통풍이 잘 되는 큰 장점 덕분에 한여름에 찰떡 템이었습니다~~!!,4
261,261,향이 너무 좋나요 꾸준히 사용할 거예요,5
262,262,뽁뽁이 기사님이 엉뚱한데 두고 갔지만 하루 만에 다시 와서 감사,4
